day width pred2 pred3 temp
1 1.75 2.736 1.916 11.233
2 1.75 2.849 1.969 10.428
3 2.33 2.959 2.022 11.468
4 1.7 3.066 2.075 11.858
5 1.81 3.17 2.128 11.966
6 1.76 3.271 2.18 12.244
7 1.63 3.369 2.232 10.832
8 1.72 3.719 2.439 12.658
9 1.75 3.795 2.491 12.937
10 2.33 3.868 2.542 13.549
11 1.95 4.004 2.643 14.86
12 2.15 4.068 2.694 15.373
13 1.74 4.127 2.744 15.906
14 1.89 4.182 2.794 15.215
15 4.15 4.234 2.845 15.98
16 4.2 4.283 2.894 15.792
17 4.75 4.33 2.944 16.068
18 3.53 4.375 2.994 15.801
19 2.33 4.417 3.043 16.339
20 3.69 4.457 3.093 16.912
21 2.74 4.495 3.142 17.997
22 2.71 4.53 3.191 18.445
23 4.24 4.564 3.24 19.113
24 4.1 4.629 3.338 19.302
25 5.85 4.659 3.387 19.361
26 4.9 4.688 3.436 19.137
27 3.8 4.715 3.484 17.11
28 3.72 4.741 3.533 15.697
29 5.06 4.765 3.582 14.606
30 4 4.871 3.874 16.975
31 3.35 4.881 3.923 16.057
32 3.36 4.889 3.972 15.257
33 2.79 4.895 4.021 14.725
34 3.7 4.901 4.07 14.841
35 3.5 4.906 4.119 14.335
36 4.75 4.912 4.168 14.381
37 5.7 4.918 4.218 14.555
38 5.4 4.924 4.267 15.135
39 6.35 4.931 4.317 15.485
40 5.23 4.993 4.636 20.572
41 5.84 4.997 4.669 20.293
42 5.73 5 4.701 20.726
43 6.15 5 4.731 20.567
44 7.51 4.998 4.761 20.705
45 4.24 4.994 4.797 20.952
46 6.05 4.981 4.848 20.479
47 4.73 4.974 4.872 20.689
48 3.45 4.965 4.903 20.092
49 3.82 4.954 4.923 19.895
50 3.35 4.941 4.932 19.658
51 4.65 4.926 4.949 18.245
52 5.2 4.911 4.964 18.134
53 4.65 4.895 4.977 18.647
54 5.1 4.879 4.989 19.379
55 4.99 4.864 4.998 21.263
56 6.86 4.847 5.006 22.651
57 3.79 4.83 5.011 22.073
58 3.99 4.81 5.014 21.729
59 3.95 4.79 5.016 21.945
60 5.5 4.768 5.015 21.724
61 7.25 4.746 5.012 21.509
62 6.75 4.723 5.022 21.606
63 7 4.7 5.015 21.84
64 6.07 4.674 5.006 22.027
65 6.83 4.646 4.996 21.188
66 7.12 4.616 4.983 22.587
67 5.35 4.584 4.968 22.65
68 3.4 4.551 4.952 21.828
69 5.78 4.518 4.945 20.454
70 5.8 4.484 4.935 20.77
71 5.8 4.449 4.911 22.473
72 5.6 4.413 4.887 22.324
73 5.7 4.376 4.862 22.663
74 5.26 4.338 4.836 22.646
75 5.34 4.3 4.809 23.855
76 6.33 4.262 4.783 23.439
77 5.45 4.224 4.756 21.796
78 5.46 4.186 4.729 20.725
79 3.68 4.148 4.702 20.822
80 5.36 4.07 4.648 19.842
81 5.3 4.03 4.629 19.777
82 5.65 3.991 4.609 19.122
83 4.12 3.951 4.588 19.376
84 4.28 3.912 4.559 19.649
85 5.06 3.874 4.528 18.374
86 3.4 3.761 4.427 17.657
87 3.65 3.725 4.386 18.936
88 2.27 3.689 4.344 19.509
89 3.11 3.655 4.302 19.554
90 3.91 3.621 4.26 19.963
91 4.4 3.558 4.174 19.378
92 5.47 3.528 4.131 18.962
93 3.85 3.497 4.087 19.058
94 3.95 3.467 4.044 18.829
95 3.85 3.438 4 18.727
96 2.93 3.409 3.957 18.569
97 3.29 3.354 3.869 18.661
98 3.51 3.327 3.825 19.353
99 4 3.303 3.781 19.367
100 4.5 3.279 3.737 19.056
101 3.75 3.256 3.694 18.556
102 3.5 3.234 3.65 18.367
103 3.11 3.215 3.606 18.199
104 2.28 3.197 3.562 18.067
105 2.85 3.181 3.518 18.44
106 4.21 3.166 3.475 18.547
107 3.08 3.152 3.431 18.514
108 3.92 3.139 3.387 18.386
109 3.31 3.127 3.344 18.811
110 3.89 3.114 3.301 19.402
111 4.09 3.101 3.257 19.491
112 3.31 3.089 3.214 19.495
113 3.63 3.077 3.171 19.231
114 3.57 3.066 3.128 18.674
115 4.12 3.055 3.085 18.906
116 3 3.044 3.042 19.21
117 2.91 3.025 2.956 17.559
118 2.16 3.016 2.914 17.974
119 3.13 3.008 2.871 18.114
120 2.54 2.999 2.828 17.56
121 2.71 2.991 2.786 16.593
122 2.73 2.983 2.743 16.377
123 2.53 2.975 2.701 15.245
124 1.93 2.967 2.658 14.94
125 2.52 2.958 2.616 14.5
126 3.14 2.949 2.574 14.518
127 2.75 2.94 2.532 14.243
128 2.53 2.93 2.489 14.354
