LAT LON SECMEAN AG.TOT AV.DEP LK.HA POPDENKM URB.TOT ELEV TOT.RD CAL.R MICRO.R ROT.R SMCLAD.R SMCYC.R MACRO.R
41.48833 -71.87278 4.6333 0 3.9 39.25 16.289 0 92 2787.9 1.5 31.5 26 4 1 6.5
41.67667 -72.03389 1.7 1.36 1.44 7.21 33.62 0 118 4295.7 0 22 20 2 0 2
41.4878 -72.2015 4.05 8.14 5.38 64.49 119.92 9.09 120 21056 1 27 24 2 1 7
41.4637 -72.1489 1.1475 7.52 2.69 39.49 163.9 10.97 77 59173 0.75 29.5 24 4 1 4.25
41.4645 -72.829 0.68 20.73 1.76 2.94 878.27 44.89 11 8327.9 1 18 16 1 0 5
41.4158 -73.4789 3.05 1.71 2.83 3.06 395.18 80.42 174 10361 1 25 20 4 0 5
41.677 -72.3759 1.8 21.93 0.93 26.98 72.64 1.03 159 5933.7 1 24 20 4 0 3
41.6264 -73.0334 2.99 5.61 1.48 7.32 141.83 5.58 142 68776 2 20 14 5 1 6
41.6475 -72.9882 0.83 0.08 0.88 11.53 470.25 34.49 251 5778.6 1 19 14 4 1 6
41.2187 -73.2919 2.63 14.43 9.74 169.43 69.57 13.34 69 27340 2 19 16 3 0 8
41.2411 -73.319 1.52 9.7 1.21 24.61 58.71 8.97 69 92242 0 51 39 12 0 8
42.59889 -71.91417 2.85 0 3.34 42.95 67.28 5.26 251 50775 2 25 18 6 0 7
42.34306 -71.89028 4.015 0 3.43 73.1 34.689 6.23 248 2024.8 3.3333 17.333 13.333 2.6667 1 9.3333
42.31139 -71.87889 6.24 0 4.13 52.66 48.932 2.22 229 11853 2.6667 8.6667 7 1 0.66667 6
42.79917 -70.93056 2.75 44.94 1.35 55.27 68.057 2.02 5 35469 1 18.5 16 1.5 0.5 4
41.9125 -70.84028 1.675 18.23 1.35 9.79 155.71 2.23 29 7664.4 0.66667 19.667 12.333 6 1.3333 4.3333
42.79167 -71.05 2.5 5.23 7.42 99.65 125.64 13.78 34 73767 2 28 22 5 1 7
42.04167 -71.84583 3.9 0.15 6.12 484.01 181.75 19.2 146 71190 2 25 18 4 2 7
42.5275 -72.09083 0.63 8.73 1.07 14.36 31.87 0 263 37222 0 26 21 5 0 4
42.10944 -71.68861 1.675 5.61 1.48 92.92 100.78 5.61 94 251780 2 29 26 2.5 0.5 7
42.35194 -72.41333 2.105 0 1.76 14.78 12.72 0 283 4797.9 2.5 9 7.5 1.5 0 5
42.3388 -71.5684 2.7 0 3.71 27.36 921.29 34.63 132 4731.5 1 22 18 4 0 6
42.2827 -72.8903 4.05 5.67 11.46 100.47 8.76 0.6 158 154630 2 21 17 3 1 8
41.9222 -70.543 3.05 0 3.25 2.35 172.1 20.6 2 1933 1 19 17 1 1 5
41.9519 -71.2065 1.15 3.73 1.11 17.06 209.47 16.42 29 259190 0 24 20 3 1 3
42.3742 -71.7332 5.2 7.71 16.29 1594.5 97.76 7.23 118 558260 2 24 18 5 1 9
42.5489 -72.9455 2.05 0 0.74 6.7 5.29 0 489 5350.5 2 7 5 2 0 7
42.4383 -72.619 1.15 0 1.53 6.01 30.82 55.67 53 754.74 1 32 26 4 1 5
42.5511 -72.4316 2.22 0 1.25 12.49 1.48 0 325 2338 1 10 9 1 0 5
42.1223 -71.3739 5.21 0.52 4.18 8.56 357.89 0.3 41 2149.2 3 13 10 2 1 9
42.1239 -72.0886 2.05 0.22 2.51 59.6 144.64 3.42 175 28799 2 13 8 4 1 7
42.138 -72.0612 3.11 4.33 2.18 42.05 67.44 10.35 178 22634 2 9 8 1 0 7
42.4863 -73.1067 2.35 8.62 4.5 30.1 13.31 0.34 441 43327 1 27 23 3 1 6
43.58806 -70.93389 5.175 0 2.64 10.72 6.675 3.05 176 1942.9 1.6667 19.667 15.333 3.3333 1 4.6667
43.92611 -70.47 4.13 3.52 9.74 576.48 30.97 8.13 84 131400 4 44 36 7 1 16
44.8668 -71.0207 4.25 0 8.35 215.07 0.25 0 379 41696 3 34 29 4 1 11
43.70778 -72.0025 1.95 1.54 1.35 25.87 0.767 0 359 3329.8 2 11 8 2 1 6
42.76972 -71.58444 1.65 27.55 0.79 10.64 62.471 5.88 75 5885.8 0.33333 22 17 4.6667 0.33333 3.6667
44.8725 -71.32028 2.7 0 1.48 1.12 1.161 0 585 217.84 3 12.333 10.667 1.6667 0 7.3333
43.60833 -71.96944 6.75 3.97 6.91 19.14 8.467 0 282 9535.9 2 20 17 2 1 10
42.98333 -72.05833 7.6 0 10.35 292.85 4.193 0 419 11114 2 22 17 5 0 10
43.19167 -71.775 1.95 23.54 5.29 15.8 50.462 0 167 2309.7 3 25 20 4 1 9
43.40833 -71.42028 2.2 3.71 2.09 58.74 41.52 14.93 255 21248 1 28 23 5 0 6
42.98389 -71.765 2.8 10.32 2.13 56.22 13.32 0 194 21273 1 26 22 3 1 5
43.10806 -72.08889 3.5 0 4.22 285.27 7.49 0 395 99376 4 27 24 3 0 12
42.7975 -72.0675 1.3 0 1.95 20.49 13.83 0 323 2782.3 1 33 29 3 1 6
43.21611 -71.7775 2.4 0 2.37 20.33 6.65 0.12 141 1591.9 2 24 21 2 1 6
43.1901 -70.933 2.95 7.15 7.42 6.72 108.37 10.17 40 974.09 1 22 18 3 1 8
43.1926 -70.9538 1.7 6.82 3.57 147.09 60.37 7.72 40 97088 3 15 10 4 1 9
43.6092 -71.9701 5.9275 3.97 7.24 19.34 8.467 0 282 9535.9 1.75 24.5 21.25 2.5 0.75 9.75
44.0091 -71.6538 13.2 0 11.14 16.52 0 0 504 3959.7 1 24 18 5 1 4
43.1813 -71.5926 2.05 4.4 2.74 134.51 53.62 5.05 99 131150 1 27 22 4 1 7
43.6224 -71.2659 5.1 4.57 5.94 135.34 45.14 4.9 155 12157 2 32 27 4 1 11
42.7959 -71.2585 4.15 14.94 6.73 152.3 310.25 37.77 67 21697 3 17 13 4 0 7
42.7395 -71.9345 1.85 2.95 1.58 12.81 17.63 0 372 3325.3 1 15 12 3 0 4
43.2883 -71.9381 8.05 5.61 5.57 64.82 31.56 3.79 250 11787 3 17 14 3 0 6
43.2787 -71.9717 2.45 0.61 1.25 67.62 16.14 1.6 206 61944 1 23 19 3 1 5
43.0347 -71.9849 5.25 0 3.99 81.21 7.21 1.64 321 11247 2 22 19 2 1 7
42.8844 -71.5793 2.95 6.56 2.97 92.72 186.01 15.41 71 22630 1 29 24 4 1 8
42.9012 -72.2626 3.5 2.77 1.86 30.29 200.94 15.54 145 12275 1 17 11 5 1 5
42.9375 -72.077 2.8 0.18 2.46 74.64 15.36 2.48 366 47124 3 34 28 5 1 8
42.9749 -72.1048 3.18 3.17 1.76 15.84 11.06 0 441 3351.5 2 14 12 1 1 7
44.1997 -71.8671 4.68 10.29 2.97 24.83 3.12 0 311 14929 2 12 10 1 1 9
42.9388 -72.1352 2.3 4.42 1.35 37.01 14.16 0.48 351 43021 1 21 16 4 1 8
42.9436 -72.1281 2.28 3.95 2.97 16.11 9.99 0.08 369 20142 1 34 29 4 1 6
42.9572 -72.1227 2.8 3.32 2.41 47.11 11.41 0 417 7748.2 1 32 28 3 1 7
42.9937 -71.3549 4.75 1.56 7.52 1039.2 68.84 4.61 77 267540 2 23 19 4 0 9
45.1551 -71.1715 2.75 0 8.91 447.97 0.14 0 569 63926 3 23 19 4 0 16
43.5261 -72.1188 2.75 0 5.24 132.29 20.92 9.27 339 49750 1 25 20 4 1 6
43.2414 -72.0999 2 0 2.09 33.01 2.64 0 502 2321.7 1 24.5 18.5 5.5 0.5 7
42.8406 -71.7737 2.9 0 2.41 8.82 13.59 0 188 1990 1 30 25 4 1 6
42.8201 -72.4508 4.3 0 2.97 49.39 0.26 0 271 0 0 18 11 5.5 1 6.5
40.9461 -74.7467 1.18 0 1.86 77.76 116.55 9.38 235 11588 0 26.5 21.5 3.5 1 1.5
40.14 -74.03389 0.45 29.42 0.46 23.67 371.5 38.21 1 180220 0 8 8 0 0 0
40.75111 -74.62361 2.38 44.3 2.32 5.09 102.31 8.56 113 21102 0 35 29 5 0 5
40.9824 -74.4402 3.1 0.09 4.04 219.88 27.04 0.56 253 12902 0 35 30 4 1 8
39.6534 -74.6534 0.94333 14.89 1.76 25.26 34.05 0.93 3 340830 0 22.25 16.25 5.5 0.5 2
39.6117 -75.2538 0.48 90.11 1.39 8.64 27.83 1.63 29 11167 1 27 21 4 1 6
39.2262 -74.8846 1.35 8.83 1.11 22.96 32.96 1.45 3 56919 0 14 12 2 0 2
40.3121 -74.5449 0.5 59.96 0.97 3.86 228.59 11.11 21 111810 1 38 34 3 1 3
40.6162 -74.8291 6.16 39.61 21.9 918.37 167.5 9.99 55 1007400 1 24 21 3 0 6
44.48694 -74.16028 3.85 0 8.44 40.01 1.416 0 510 1582.6 2 30 24 5 1 12
44.49667 -74.13139 1.95 0 3.9 46.22 0.458 0 509 14456 1 31 26 4 1 10
44.65167 -74.4975 0.78 0 8.35 13.24 1.597 0 380 1227.2 0 19 14 4 1 7
44.51917 -74.11444 2.88 0 11.37 154.94 0.934 0.77 509 25116 3 37 32 5 0 17
43.31333 -74.71917 9.69 0 7.89 23.36 0 0 667 0 1 10 9.5 0.5 0 2
42.45417 -77.63194 0.16 41.54 0.56 10.98 10.589 0 515 5137.9 0.5 18 14 3 1 3.5
43.8275 -76.12861 1.88 68.49 3.06 68.08 11.259 0 129 21778 0 12.333 9 2 1 3
41.76472 -74.87306 1.22 9.83 1.16 26.36 14.522 0 358 43549 1 20.5 17 2.5 0 4.5
44.35333 -74.49833 2.7433 0 1.76 34.14 0.043 0 477 2987.2 1 25.5 21 3.75 0.75 5.5
44.36444 -74.44917 3.5 0 3.02 42.26 0.018 0 502 1267.8 2 22.333 18.333 2.6667 1 8
43.48389 -74.36611 4.64 0 10.44 646.73 6.064 0.95 526 52425 2 28 23.333 3.6667 1 9.6667
42.63333 -74.32472 3.6 69.64 2.09 1.76 3.996 0 216 341.58 1 16.5 12 3.5 0.5 4
41.39972 -73.84861 2.0625 0 5.1 147.21 113.98 7.73 155 32784 0 31.2 27 3.2 1 4.2
41.42944 -73.84083 9.232 0 14.85 7.73 1.661 0 271 634.92 1 17.333 13.833 2.8333 0.66667 5.6667
41.85194 -73.56139 3.6 14.51 5.2 2.33 12.913 0 175 0 1 23.333 19.667 2.6667 1 7
44.51972 -74.69333 5.4 0 5.57 6.67 0 0 405 24.71 1 26.5 24 1 1.5 6.5
43.31528 -74.19444 4.1575 0 3.94 15.97 1.83 0 355 1891.2 1 23 19.25 3.25 0.5 7.5
43.29167 -75.44306 3.63 32.56 7.42 963.51 19.26 1.84 167 403950 1 32 27 5 0 12
43.29083 -74.17083 1.22 0 0.84 2.31 0.89 0 353 269.76 0 20 17 2 1 2
41.59778 -74.70417 1.25 4.4 1.3 95.99 111.53 19.52 436 27032 0 25 19 5 1 3
41.235 -73.75972 2 13.04 18.47 730.89 183.74 16.2 61 2829900 1 43 34 7 1 16
43.92639 -75.30278 2.15 0.26 3.71 37.82 0.23 0.04 326 222400 1 35 27 7 1 8
43.92028 -75.26056 2.35 0.18 3.48 123.31 0.22 0.04 354 217110 2 32 25 6 1 8
