site gpp ndvi rich
1 15601 8516 8.75
1 15457.8 8359 8
1 15751 8448 8.33
1 16087.5 8574 12
1 15017.5 8677 9.75
1 15012.5 8531 6.75
1 14721.2 8348 8.75
1 14355.8 8382 9
1 14575.3 8237 8.67
1 15279 8303 10.5
1 15854.8 8386 9.5
1 15902.8 8608 10.5
1 15943.5 8380 8
1 15658.5 8529 10
1 15096 8321 9.5
1 15511.8 8324 5.5
1 15351.8 8413 8
1 16017 8315 8
1 16117 8485 10.5
1 15426.2 8825 6.75
1 15463.8 8899 7
1 15474 8739 4
1 15643.3 8854 7.33
1 15290.5 8627 10.25
1 15431.5 8618 9.5
1 15438.7 8624 10.33
1 14703.8 8587 9.75
1 14144.2 8845 8.25
1 13491 8839 10
1 15936.3 8903 11.33
1 14132 8829 8.67
1 13694.8 8517 9.5
1 13733.5 8572 7
1 13049.5 8576 7.75
1 14971 8800 8
1 14122 8772 10
1 15679.8 8938 12.5
1 15581.8 8832 11.5
1 15631.5 8985 8.5
1 15797 9000 6
1 14849.8 8476 8.5
1 14981.8 8660 7.5
1 15403 8377 10
1 15749.8 8898 10
1 15912.5 8953 10.75
1 16000 8957 7
1 15343.5 8337 10.25
1 15241 8251 8.75
1 15378 8273 9.5
1 15377.3 8370 9.33
1 14344.5 8273 12.25
1 14672 8310 12.5
1 14216 8279 7.33
1 14616 8342 12
1 14298.5 8625 10
1 14900.8 8553 11.25
2 14396 8519 12.9
2 14235.2 7717 14.7
2 13892.8 7928 10.4
2 13765 8811 11.7
2 13514 8804 13.9
2 14079 8771 14.6
2 12919.4 8852 14.5
2 13887 8267 11.7
2 13426 8867 12.9
2 12863 8804 11.9
2 12902.4 8605 13.5
2 15201.8 7955 13.7
2 14448 8531 11.2
2 13446.8 8064 11.9
2 14415 7744 16.1
2 13195.6 8816 8.3
2 13659.2 8824 13.1
2 13689 8082 13.1
2 13050 8854 11.6
2 13585 8948 12.9
2 13206 8956 8.7
2 12872 8809 11.8
2 13987 8831 12.1
2 17337 8005 14.1
2 18519 7615 16.4
2 13490.6 8277 18.5
2 13013 7894 13.6
2 15618 8925 13.4
2 14354.2 8895 15
2 14142 8172 14.1
