site sci rich
3 6.3259 13.8
3 3.8338 11.3
3 11.472 10.9
3 12.117 10.9
3 13.473 10.6
3 13.321 11.5
3 16.313 10.6
3 15.819 10.2
3 16.035 9.9
3 16.336 10
3 17.993 9.79
3 19.11 10.6
3 19.993 9.9
3 22.51 10.1
3 23.971 11.4
3 1.4914 9.44
3 2.846 10
3 2.7394 9.34
3 4.3096 9.54
3 5.3213 9.22
3 5.451 8.82
3 1.3421 8.51
3 6.9141 8.71
3 7.4729 9.12
3 10.055 8.71
3 13.11 8.92
3 13.454 9.22
3 22.36 9.59
3 23.63 9.42
3 23.889 9.01
3 19.908 9.03
3 18.984 8.81
3 19.78 8.59
3 20.834 8.67
3 20.834 8.85
3 19.802 7.93
3 15.951 8.4
3 0.26979 6.12
3 2.4211 6.22
3 3.1959 6.01
3 3.8834 6.7
3 4.7442 6.59
3 4.5709 7.41
3 7.7981 7.41
3 8.9383 7.41
3 8.5098 6.22
3 11.778 7.42
3 16.168 6.91
3 20.836 7.12
3 13.245 4.51
3 1.9498 4.83
3 30.517 7.61
3 25.784 7.93
3 24.083 8.4
3 25.653 9.24
3 26.234 9.01
3 32.022 8.6
3 27.35 10.8
3 30.427 10.5
3 28.488 12.2
3 26.573 12.6
3 24.895 12.7
3 35.025 14.8
3 30.765 14.6
2 8.0404 18.5
2 1.0514 16.2
2 6.9035 16.1
2 9.7869 15.8
2 13.25 16.2
2 7.4859 15
2 7.8091 14.7
2 22.526 13.9
2 -0.085861 14.1
2 -0.063525 13.5
2 3.0344 13.6
2 -0.06296 13.1
2 -0.105 12.4
2 -0.060909 11.7
2 13.234 12.8
2 13.363 12.4
2 12.352 12.4
2 17.085 12.4
2 20.27 11.8
2 16.635 11.6
2 19.066 11.2
2 23.671 10.6
2 12.828 10.8
2 11.924 11
2 11.797 9.58
2 20.941 9.21
2 16.231 8.01
2 25.115 8.7
2 36.433 8.27
2 27.156 11.2
2 27.37 11.9
2 30.167 11.9
2 30.769 11.8
2 35.825 12.1
2 32.704 12.9
2 29.069 12.2
2 34.94 13.7
2 33.928 14.5
2 30.961 13.4
2 29.068 13.1
2 27.842 12.9
2 25.798 12.9
2 28.291 14.6
2 48.498 11.7
2 44.885 10.4
2 41.614 10.8
5 0.12583 1.49
5 2.7076 1.5
5 3.1809 1.5
5 4.8808 1.33
5 8.9024 2.48
5 9.9348 2.69
5 9.6974 3.16
5 10.73 3.51
5 4.2971 3.27
5 3.8031 2.69
5 2.2536 3.02
5 -0.0040172 2.02
5 0.060286 2.19
5 0.059848 2.49
5 0.059112 3.01
5 0.015828 3.19
5 0.96246 3.19
5 2.705 3.31
5 3.2638 3.67
5 2.4891 3.84
5 0.33764 3.82
5 0.12176 4.33
5 1.6488 4.66
5 2.1226 4.33
5 3.1551 4.5
5 5.0704 4.17
5 6.2962 4.51
5 8.5764 4.74
5 8.8345 4.81
5 12.061 5.31
5 10.834 5.49
5 17.267 5.98
5 4.1639 6.15
5 5.7541 7.49
5 10.724 7.65
5 15.155 8.12
5 24.048 3.16
5 23.381 3.3
